Industry Rankings - 2026-03-22 21:22 UTC
Tickers: 520 | Industries: 180

========================================================================================================================
Period: 5-Day Performance
========================================================================================================================

Rank  Industry                                       Avg      Std  Count  Top 5 Stocks
------------------------------------------------------------------------------------------------------------------------
   1  OIL & GAS FIELD MACHINERY & EQUIPMENT      +11.22%   0.00%      1  BKR +11.22%
   2  SPECIAL INDUSTRY MACHINERY, NEC             +7.62%   0.00%      1  LRCX +7.62%
   3  OIL & GAS FIELD SERVICES, NEC               +6.35%   2.08%      2  HAL +8.43%, SLB +4.27%
   4  COMPUTER STORAGE DEVICES                    +5.77%   2.33%      3  WDC +7.64%, STX +7.17%, NTAP +2.48%
   5  OPTICAL INSTRUMENTS & LENSES                +5.64%   0.00%      1  KLAC +5.64%
   6  CRUDE PETROLEUM & NATURAL GAS               +5.59%   3.62%      7  APA +13.46%, CTRA +5.66%, FANG +5.58%, DVN +5.21%, OXY +4.89%
   7  NATURAL GAS TRANSMISSION & DISTRIBUTION     +4.51%   0.00%      1  OKE +4.51%
   8  SERVICES-HELP SUPPLY SERVICES               +4.11%   0.00%      1  RHI +4.11%
   9  AIR TRANSPORTATION, SCHEDULED               +3.69%   2.64%      4  DAL +7.93%, UAL +3.87%, LUV +1.70%, AAL +1.26%
  10  APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL    +3.19%   0.00%      1  LULU +3.19%
  11  PETROLEUM REFINING                          +2.88%   0.92%      6  COP +4.13%, VLO +4.02%, MPC +2.81%, CVX +2.49%, XOM +2.27%
  12  CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP    +2.67%   0.00%      1  DOV +2.67%
  13  TRANSPORTATION SERVICES                     +2.47%   0.52%      2  EXPE +2.98%, BKNG +1.95%
  14  LABORATORY ANALYTICAL INSTRUMENTS           +2.39%   1.90%      5  ILMN +4.53%, WAT +4.33%, MTD +2.62%, BIO +0.64%, A -0.19%
  15  AIR COURIER SERVICES                        +2.04%   0.00%      1  FDX +2.04%
